Unnamed: 0,SAVSNET_consult_id,Narrative,SAVSNET MPC,Consult_date,Species,Narrative_cleaned
34,2442067,"""Consult to check ocular discharge. O reprots difficulty applying drops after visit to OOH approx 1 months ago, discharge still present, green/yellow bialterally, eyes appear otherwise quiet, no conjunctival hyperaemia, but limited exam due to temprement. Adv drops in place of ointment as easier application, O made aware off licence. Reex in 1 week unless complete resolution.""",other_unwell,15-11-2016 15:27,dog,"""Consult to check ocular discharge. O reprots difficulty applying drops after visit to OOH approx 1 months ago, discharge still present, green/yellow bialterally, eyes appear otherwise quiet, no conjunctival hyperaemia, but limited exam due to temprement. Adv drops in place of ointment as easier application, O made aware off licence. Reex in 1 week unless complete resolution."""
35,250352,"""s/o, all looks fine. re-ex iac.""",post_op,13-11-2014 17:06,dog,"""s/o, all looks fine. re-ex iac."""
36,3851951,"""Long standing skin issues since o found him several years ago. seems worse during the summer months, pruritic ++. On exam marked thinning of hair on temples and ears, slightly greasy coat, but with dry scale on skin. ? atopy. Trial Depo and recommend Yumega. Discussed scrapes and plucks.""",pruritus,08-11-2017 10:03,cat,"""Long standing skin issues since o found him several years ago. seems worse during the summer months, pruritic ++. On exam marked thinning of hair on temples and ears, slightly greasy coat, but with dry scale on skin. ? atopy. Trial Depo and recommend Yumega. Discussed scrapes and plucks."""
37,5882415,"BOOSTER. CANIGEN LEPTO 2: A423A01. O reports doing ok. On exam, all parameters normal but some tartar on upper teeth=> advise brushing consisitently or will need a dental. BCS 6/9",vaccination,20-03-2019 18:36,dog,"BOOSTER. CANIGEN LEPTO 2: A423A01. O reports doing ok. On exam, all parameters normal but some tartar on upper teeth=> advise brushing consisitently or will need a dental. BCS 6/9"
38,5949461,"vaccination restart. DHPL4 and KC. bright, alert and responsive. defecating, urinating, drinking, eating all within normal limits.  no V+ D+ C+ S+. mobility ok - get very tired and lethargic in summer. nothing abnormal detected on clinical exam.  Next appointment in 4 weeks.",vaccination,05-04-2019 15:51,dog,"vaccination restart. DHPL4 and KC. bright, alert and responsive. defecating, urinating, drinking, eating all within normal limits.  no V+ D+ C+ S+. mobility ok - get very tired and lethargic in summer. nothing abnormal detected on clinical exam.  Next appointment in 4 weeks."
39,4841318,"""Cough. cough since yestrday OR like a goose honk, some bile sometimes after coughs. BAR in self. CE. tracheal pinch -ve, Ausc normal lung field and URT, temp 38.6 rest of CE NAD. differential diagnosis. suspect KC. plan tx for KC if no better see back sooner and if no better in a week see back at that point.""",other_unwell,02-08-2018 16:20,dog,"""Cough. cough since yestrday OR like a goose honk, some bile sometimes after coughs. BAR in self. CE. tracheal pinch -ve, Ausc normal lung field and URT, temp 38.6 rest of CE NAD. differential diagnosis. suspect KC. plan tx for KC if no better see back sooner and if no better in a week see back at that point."""
40,4756614,"""HAS BEEN LICKING AT LEFT HIND PAW WAS SORE PRESENT, HAS SETTLED NOW, ALSO HAS MILD SEPARATION / ATTENTION SEEKING ISSUES.""",vaccination,17-07-2018 10:09,dog,"""HAS BEEN LICKING AT LEFT HIND PAW WAS SORE PRESENT, HAS SETTLED NOW, ALSO HAS MILD SEPARATION / ATTENTION SEEKING ISSUES."""
41,4528222,"""vacc L2 + kc.  teeth v good. general ce nothing abnormal detected. overweight as before. on 2 tins daily weight food + small amount of biscuits. no treats.  has flea/worming at home.""",vaccination,22-05-2018 11:48,dog,"""vacc L2 + kc.  teeth v good. general ce nothing abnormal detected. overweight as before. on 2 tins daily weight food + small amount of biscuits. no treats.  has flea/worming at home."""
42,1995245,"""Injectied 1ml on the L and R shoulders. Ears still mildy inflammed/pinkish but no scratches or anything present. See how it goes over the next week regareding the immunotherapy and ears.""",other_healthy,08-08-2016 16:25,dog,"""Injectied 1ml on the L and R shoulders. Ears still mildy inflammed/pinkish but no scratches or anything present. See how it goes over the next week regareding the immunotherapy and ears."""
43,4102586,"""Nail clip.""",other_healthy,15-01-2018 11:24,dog,"""Nail clip."""
44,6122563,"Exam lameness. Brought in by owner's staff. Thinks lame LH ~6months. Also ribcage area seems to protrude. Exam: walks in to consultation normally. No pain on manipulation both hindlimbs. Equal musculature. Bears weight equally on each hindlimb when the other is lifted. No spinal pain. T=39.1. Mucus mems pink moist CRT<2secs, heart lungs NAD. No lameness around car park. Does have odd gait, looks like due to conformation of hindlimbs, massive thigh musculature but very short limbs with very angled stifles. Points of hocks turn outwards, digits turn inwards. Ribcage: caudal 3 ribs very curved outward, bulge outward. Advised both problems appear to be normal for her. Conformation. No obv lameness.",other_unwell,17-05-2019 16:23,dog,"Exam lameness. Brought in by owner's staff. Thinks lame LH ~6months. Also ribcage area seems to protrude. Exam: walks in to consultation normally. No pain on manipulation both hindlimbs. Equal musculature. Bears weight equally on each hindlimb when the other is lifted. No spinal pain. T=39.1. Mucus mems pink moist CRT<2secs, heart lungs NAD. No lameness around car park. Does have odd gait, looks like due to conformation of hindlimbs, massive thigh musculature but very short limbs with very angled stifles. Points of hocks turn outwards, digits turn inwards. Ribcage: caudal 3 ribs very curved outward, bulge outward. Advised both problems appear to be normal for her. Conformation. No obv lameness."
45,2863082,"""Asked to express anal sacs - right side full, left side empty.""",other_healthy,03-03-2017 15:46,cat,"""Asked to express anal sacs - right side full, left side empty."""
46,5138996,"recheck - improving, mass reduced, owner noticed marked reduction, happier in self. now approx 1cm diameter, soft. plan continue on with treatment and reassess post treatment course. advised if mass still present on last day of AB, resee wvt continue of AB",other_healthy,02-10-2018 15:44,dog,"recheck - improving, mass reduced, owner noticed marked reduction, happier in self. now approx 1cm diameter, soft. plan continue on with treatment and reassess post treatment course. advised if mass still present on last day of AB, resee wvt continue of AB"
47,4124665,"""s/o. Wound healed nicely. No swelling. <<identifier>> is doing great.""",post_op,19-01-2018 18:11,dog,"""s/o. Wound healed nicely. No swelling. <<identifier>> is doing great."""
48,4977133,"""O'S DOG HAS GOT FLEAS. o brought the cat in as she has got few fleas too. under chin thereare scabs. advise o to use antifleas spay for house.""",respiratory,30-08-2018 13:28,cat,"""O'S DOG HAS GOT FLEAS. o brought the cat in as she has got few fleas too. under chin thereare scabs. advise o to use antifleas spay for house."""
49,2303294,"""""",other_unwell,14-10-2016 12:00,dog,""""""
50,6255891,"PRURITIS + PYODERMA. OR applied RSPCA flea tx a few days ago. Sice then has been scratching++, otherwise well in himself. CE - BAR. erytheam ventral abdo. several areas of epidermal collarettes over skin. rest NAD. Advise likely allergic response + pyoderma. Start with short course pred + abs and resee 6 days. Warned may need to prescribe full 3 weeks opf abs.",pruritus,18-06-2019 09:21,dog,"PRURITIS + PYODERMA. OR applied RSPCA flea tx a few days ago. Sice then has been scratching++, otherwise well in himself. CE - BAR. erytheam ventral abdo. several areas of epidermal collarettes over skin. rest NAD. Advise likely allergic response + pyoderma. Start with short course pred + abs and resee 6 days. Warned may need to prescribe full 3 weeks opf abs."
51,5077250,"RESTART DHP L4 KC. doesn't appear to have taken many benefits so not charged restart. exam nothing abnormal detected, o reports no problems other than rarely yelps when jumping into car, stifles fine, pulled muscle? rv 4 weeks for L4. advise KC live. clipped claws.",vaccination,19-09-2018 14:34,dog,"RESTART DHP L4 KC. doesn't appear to have taken many benefits so not charged restart. exam nothing abnormal detected, o reports no problems other than rarely yelps when jumping into car, stifles fine, pulled muscle? rv 4 weeks for L4. advise KC live. clipped claws."
52,6798520,"new kitten, 7 weeks, settled in well. bright, alert and responsive, defecating, urinating, drinking, eating.  nothing abnormal detected on clinical exam.  see back in week or so for vaccinations, microchipped today as worried would get out. too small for stronghold so milbeworm kitten given.  hpc discussed, kitten pack given.",other_healthy,11-10-2019 14:42,cat,"new kitten, 7 weeks, settled in well. bright, alert and responsive, defecating, urinating, drinking, eating.  nothing abnormal detected on clinical exam.  see back in week or so for vaccinations, microchipped today as worried would get out. too small for stronghold so milbeworm kitten given.  hpc discussed, kitten pack given."
53,6050104,"recheck - BAR, owner reports no cough/sneeze, DDUE normal, has started to refuse baytril. Heart and lungs sound clear, no nasal discharge, mucous membranes pink. body condition score 2/9, has lost 60g since last weight. Adv monitor weight, feed ad lib and resee if still losing. Otherwise looks well.",respiratory,01-05-2019 12:18,guinea pig,"recheck - BAR, owner reports no cough/sneeze, DDUE normal, has started to refuse baytril. Heart and lungs sound clear, no nasal discharge, mucous membranes pink. body condition score 2/9, has lost 60g since last weight. Adv monitor weight, feed ad lib and resee if still losing. Otherwise looks well."
